id,song,artist,week,valence,track_id,lyrics
1021,Кришталь,NK,2023-03-17,0.609,1ixJTPRUzQfa7a1wwhLs9B,
1022,Пишу тобі листа - Rap Edition,"Ivan NAVI, ХАС",2023-03-17,0.422,48xn7zMEnr2goU2WX0Njn3,
1023,Infinity,Jaymes Young,2023-03-17,0.494,1SOClUWhOi8vHZYMz3GluK,
1024,Враже (енджі крейда cover),Damidas,2023-03-17,0.12,0ekzVQWGaD6oHBINV8JY5h,
1025,ЗА ДЕНЬГИ ДА,INSTASAMKA,2023-03-17,0.314,4PGzoH4hL1vORGOTxHdWjB,
1026,Монро,Slavik Pogosov,2023-03-17,0.118,5sQpS3fyw6VBpPioNlrCn1,
1027,Моя Украïна,"TamerlanAlena, Andi Vax",2023-03-17,0.442,5vmTyrE2mSg9wvAFNLRaOr,
1028,Летять - БомБлять,Andre KRICHE,2023-03-17,0.285,1GPAhOettTBrhc3JIchO7Z,
1029,Легковажна,SKAI,2023-03-17,0.563,4v46N2yKTs6bAupAw9DTcm,
1030,Силуети,"SadSvit, СТРУКТУРА ЩАСТЯ",2023-03-17,0.387,61BaxM1NIcadLu3gtWm2uT,
1031,Незамінних,MAYOROVA,2023-03-17,0.603,6BCdDTHouLa0Ztxu6uTxOd,
1032,Ванька-Встанька,Маша Кондратенко,2023-03-17,0.62,00ZFbk7oYrtx8nup5y58BO,
1033,Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",2023-03-17,0.502,3sa06xVNmLLYIxdNNmVQN8,
1034,Heart of Steel,TVORCHI,2023-03-17,0.338,155yInH5aDNEI1MkcX6NNk,
1035,As It Was,Harry Styles,2023-03-17,0.662,4Dvkj6JhhA12EX05fT7y2e,
1036,Без неї ніяк,BEZ OBMEZHEN,2023-03-17,0.497,20UZZf0rdvLVBKofYUHzvK,
1037,Моя країна,Arsen Mirzoyan,2023-03-17,0.513,1MBiKjChdXChGDwxJxm9ib,
1038,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",2023-03-17,0.942,6zSpb8dQRaw0M1dK8PBwQz,
1039,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",2023-03-17,0.172,2dHHgzDwk4BJdRwy9uXhTO,
1040,The Motto - Robert Georgescu & White Remix,"Tiësto, Ava Max, Robert Georgescu & White",2023-03-17,0.828,6jiiZursE0NfrjmThWe8f6,
1041,інша любов,ENLEO,2023-03-17,0.117,6JrGELYUIbZvBV74j4Q5LN,
